OID_,_FID,Shape_Leng,fclass,_OID,HOP,POD,DIS_BUS,DIS_MTR,POI_COM,POI_SHOP,POI_SCE,POI_EDU,POI_MED,PR,TD,OPEN,CAR,GREN,ENCL,WAL,IMA,COMP,PM2_5,PM10,CO,TD_label
10,10.0,441.487,primary,10.0,7870.123060157102,0.707317073170732,724.9501878539091,6964.161280406857,0.0,0.0,0.0,0.0,0.0,0.005619502737116,0.0,0.555556303489231,0.004447590542459,0.0362611051176,0.213143820416485,0.014434485284385,0.000311086971082,1.177102571847154,1.379470174254465,2.852147348004311,0.034500599668961,none
11,11.0,668.452,residential,11.0,5371.0,8.98076923076923,249.3363146495178,6854.4081150355405,1.0,12.0,0.0,0.0,2.0,0.135561538801306,0.0,0.669009245852941,0.005335450256911,0.129195464071394,0.214308226361476,0.010822798726008,0.000834788775968,1.077416897791353,1.379487416115639,2.852231540308992,0.034499937819325,none
12,12.0,566.18,tertiary,12.0,5371.0,14.346938775510203,193.2998086918836,6926.337576845097,1.0,15.0,0.0,3.0,2.0,0.142574088701024,0.0,0.654006728206875,0.00978745609881,0.165379627641344,0.433003130494375,0.077103852348529,0.000984008053699,1.13222310796625,1.379070543606466,2.853552597185694,0.03449238484923,none
13,13.0,434.312,residential,13.0,5371.0,12.571428571428571,189.10008316837985,6666.093593180241,1.0,11.0,0.0,0.0,2.0,0.154701857010118,0.0,0.6712811941125,0.012604715737949,0.07364913756579,0.3521491246122,0.034689758814262,0.000660319500658,1.151478950054,1.379070543606466,2.853552597185694,0.03449238484923,none
14,14.0,514.8,residential,14.0,9476.5,7.276595744680851,99.41836946435566,6057.429355902957,6.0,3.0,0.0,0.0,0.0,0.508294784947744,0.041666666666667,0.119511926914362,0.003777335151906,0.077671224260069,0.169856065588192,0.098935915075785,0.002884406088896,1.586165494517692,1.380227509194285,2.84904805024095,0.034519228674785,low
15,15.0,664.678,motorway,15.0,9476.5,9.60377358490566,152.16604899519345,6003.681238908256,15.0,9.0,0.0,2.0,2.0,0.535199034910144,0.0,0.18569855594252,0.005873788121229,0.080492624796028,0.19701975082784,0.062576786250707,0.001115301047942,1.542692805424667,1.380296422492492,2.848677650696365,0.034521544017173,none
16,16.0,17.2268,tertiary,16.0,10319.0,16.15,114.86982995400228,5667.609445477176,13.0,8.0,0.0,2.0,2.0,0.880048062689594,0.0,0.317405118521333,0.003228490132403,0.096488493034733,0.197752480889333,0.0803271745901,7.3658893386e-05,1.44755738469,1.38031238385925,2.848731186912273,0.034521102570463,none
17,17.0,136.1,residential,17.0,10319.0,14.5,51.19658834666279,5732.02740763676,12.0,9.0,0.0,2.0,2.0,0.69765967133449,0.0,0.526220114834275,0.003307480409923,0.102957300393,0.32644392214975,0.102832426911035,0.000232650572995,1.23321215658,1.38031238385925,2.848731186912273,0.034521102570463,none
18,18.0,383.995,motorway,18.0,10319.0,14.794871794871796,303.2780626990773,5479.22448719232,24.0,9.0,0.0,2.0,2.0,0.6335691178158,0.0,0.10453697112682,0.006197568594689,0.042788806593553,0.1694597289013,0.161101378252676,0.000964612845915,1.636653331946,1.380533200041557,2.847740683492782,0.034527143632684,none
19,19.0,15.9243,tertiary,19.0,11916.37082612844,16.285714285714285,413.89876411425695,5285.308648630064,6.0,5.0,0.0,2.0,0.0,0.551893866022577,0.0,0.1795470456045,0.002850268260541,0.0444887459996,0.226672303773,0.029932602696605,9.375882436e-05,1.746952993775,1.380547019013423,2.847799993244938,0.034526670496957,none
20,20.0,380.4,residential,20.0,10319.0,14.794871794871796,309.0000870297655,5473.703079552677,23.0,9.0,0.0,2.0,2.0,0.494901534731301,0.0,0.137212097086311,0.006822374131941,0.032983986728201,0.217389416307222,0.151608565519823,0.000515367132593,1.471373525511111,1.380547019013423,2.847799993244938,0.034526670496957,none
